,name,country,price_usd,soft_cap_usd,hard_cap_usd,distributed_in_ico,token_for_sale,whitelist,kyc,bonus,restricted_areas,bounty,mvp,pre_ico_price_usd,platform,accepting,link_provided,ico_period,pre_ico_period
0,DenchMusic,Netherlands,0.0857,568182,39772740,0.85,425000000.0,Yes,Yes,Available,1,Available,Available,0.036214856000000004,Ethereum,ETH,Yes,14,9
1,Eristica,Singapore,0.02,1000000,10000000,0.68,156905453.0,No,Yes,Unavailable,3,Unavailable,Unavailable,0.02,Ethereum,BTC/ETH/LTC/BCH,Yes,62,30
2,Lunch Money,USA,1.0,1000000,40000000,0.16,40000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.8,Ethereum,ETH,Yes,31,31
3,Okschain,Estonia,0.001,4725000,12090000,0.78,12090000000.0,No,Yes,Unavailable,1,Available,Available,0.001,Ethereum,"ETH, BTC, USDT, USD, EUR",Yes,48,30
4,Shard,UK,0.6113,963821,8031849,0.8,20000000.0,No,No,Unavailable,1,Available,Unavailable,0.26533391616,Scrypt,"BTC, ETH, LTC, XRP",Yes,28,7
5,Bow,France,0.3,3000000,6000000,0.7,25000000.0,Yes,Yes,Unavailable,3,Unavailable,Unavailable,0.32,Ethereum,ETH,Yes,61,31
6,IQeon,Estonia,2.15,1381654,13125713,0.7,7000000.0,No,No,Unavailable,2,Available,Unavailable,0.994584262857143,Ethereum,"ETH, BTC, LTC",Yes,42,9
7,TrustBar,South Africa,0.33,10000000,35000000,0.6,64800000.0,Yes,Yes,Unavailable,1,Available,Unavailable,0.33,NEO,"BTC, NEO",Yes,30,30
8,DatEat,Singapore,0.15,3000000,23000000,0.4,200000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.09,Ethereum,ETH,Yes,112,20
9,Dream Real,British Virgin Islands,0.016,48412,26311113,0.5,750000000.0,Yes,Yes,Unavailable,4,Available,Available,0.0397076111831,Ethereum,"ETH, BTC",Yes,123,265
10,Gagapay Network,UK,0.05,1000000,34500000,0.69,690000000.0,Yes,Yes,Unavailable,3,Available,Unavailable,0.03,NEO,"NEO, BTC, LTC, ETH, DASH, GAS",Yes,76,1
11,JoyToken,UK,0.14,1000000,46340000,0.5,700000000.0,Yes,Yes,Unavailable,2,Available,Unavailable,0.1,Ethereum,"ETH, BTC",Yes,32,108
12,UHIVE,UK,0.003,10000000,54000000,0.5,40000000000.0,No,No,Unavailable,1,Available,Unavailable,0.0015,Ethereum,"ETH, BTC, Fiat, Android Play Store, Paypal",Yes,201,49
13,Box2Table,Bulgaria,0.0523,5000000,41000000,0.76,380000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.08,Ethereum,ETH,Yes,61,35
14,FIXY NETWORK,Hong Kong,0.114,1155290,6585153,0.68,68000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.096326655568,Ethereum,ETH,Yes,15,8
15,Inflr,Cayman Islands,0.0218,242596,3056719,0.35,140000000.0,Yes,Yes,Unavailable,1,Available,Available,0.02829285625,Ethereum,"ETH, BTC, BCH, LTC, Fiat",Yes,63,102
16,Nauticus,Australia,0.0741,8000000,88000000,0.8,2000000000.0,Yes,No,Unavailable,1,Available,Available,0.08223679687999999,Ethereum,"BTC, ETH, BCH, Fiat",Yes,60,12
17,TheFaustFlick,Venezuela,0.9571,1425719,2592217,0.5,500000.0,No,Yes,Unavailable,8,Unavailable,Unavailable,0.682218095,Ethereum,ETH,Yes,244,60
18,Ccecoin,Hong Kong,0.0592,3000000,10000000,0.1,100000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.06923040150000001,Ethereum,ETH,Yes,29,30
19,Digital Telecom,Netherlands,0.1601184772386,250000,3000000,0.75,1000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.1388440722738,Separate Blockchain,"TRX, BTC, USD, EUR",Yes,118,46
20,ETHernitymining,South Africa,0.2,2500000,21000000,0.8,120000000.0,No,No,Unavailable,1,Available,Unavailable,0.15,Ethereum,ETH,Yes,45,30
21,Enkidu,Singapore,0.045,5000000,30000000,0.52,780000000.0,Yes,Yes,Unavailable,3,Unavailable,Available,0.037000000000000005,Ethereum,"ETH, BTC",Yes,61,14
22,Eticket4,British Virgin Islands,0.384,37028,5109933,0.46,13800000.0,Yes,Yes,Unavailable,1,Available,Unavailable,1.071130005,Ethereum,"ETH, BTC",Yes,32,13
23,Fondocoin,UK,0.2,5000000,34000000,0.5,100000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.2,Ethereum,"BTC, ETH",Yes,29,45
