"name","country","ico_start","ico_end","price_usd","soft_cap_usd","hard_cap_usd","distributed_in_ico","token_for_sale","whitelist","kyc","bonus","restricted_areas","bounty","mvp","pre_ico_start","pre_ico_end","pre_ico_price_usd","platform","accepting","link_provided"
"DenchMusic","Netherlands","2018-12-01","2018-12-15","0.0857","568182","39772740","0.85","4.25E8","Yes","Yes","Available","USA","Available","Available","2018-11-21","2018-11-30","0.036214856","Ethereum","ETH","Yes"
"Eristica","Singapore","2017-12-07","2018-02-07","0.02","1000000","10000000","0.68","1.56905453E8","No","Yes","Unavailable","USA, China, Canada","Unavailable","Unavailable","2017-09-01","2017-10-01","0.02","Ethereum","BTC/ETH/LTC/BCH","Yes"
"Lunch Money","USA","2018-08-05","2018-09-05","1.0","1000000","40000000","0.16","4.0E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2018-07-05","2018-08-05","0.8","Ethereum","ETH","Yes"
"Okschain","Estonia","2019-12-26","2020-02-12","0.001","4725000","12090000","0.78","1.209E10","No","Yes","Unavailable","USA","Available","Available","2019-11-25","2019-12-25","0.001","Ethereum","ETH, BTC, USDT, USD, EUR","Yes"
"Shard","UK","2018-03-26","2018-04-23","0.6113","963821","8031849","0.8","2.0E7","No","No","Unavailable","None","Available","Unavailable","2018-03-17","2018-03-24","0.26533391616","Scrypt","BTC, ETH, LTC, XRP","Yes"
"Bow","France","2019-09-15","2019-11-15","0.3","3000000","6000000","0.7","2.5E7","Yes","Yes","Unavailable","North Korea, Singapore","Unavailable","Unavailable","2019-05-15","2019-06-15","0.32","Ethereum","ETH","Yes"
"IQeon","Estonia","2018-01-30","2018-03-13","2.15","1381654","13125713","0.7","7000000.0","No","No","Unavailable","USA, Singapore","Available","Unavailable","2017-12-16","2017-12-25","0.994584262857143","Ethereum","ETH, BTC, LTC","Yes"
"TrustBar","South Africa","2018-10-01","2018-10-31","0.33","10000000","35000000","0.6","6.48E7","Yes","Yes","Unavailable","None","Available","Unavailable","2018-08-31","2018-09-30","0.33","NEO","BTC, NEO","Yes"
"DatEat","Singapore","2018-06-05","2018-09-25","0.15","3000000","23000000","0.4","2.0E8","No","Yes","Unavailable","USA","Unavailable","Unavailable","2018-05-09","2018-05-29","0.09","Ethereum","ETH","Yes"
"Dream Real","British Virgin Islands","2019-04-08","2019-08-09","0.016","48412","26311113","0.5","7.5E8","Yes","Yes","Unavailable","USA, South Korea, Singapore","Available","Available","2018-07-09","2019-03-31","0.0397076111831","Ethereum","ETH, BTC","Yes"
"Gagapay Network","UK","2018-04-30","2018-07-15","0.05","1000000","34500000","0.69","6.9E8","Yes","Yes","Unavailable","USA, South Africa","Available","Unavailable","2018-04-23","2018-04-24","0.03","NEO","NEO, BTC, LTC, ETH, DASH, GAS","Yes"
"JoyToken","UK","2018-03-20","2018-04-21","0.14","1000000","46340000","0.5","7.0E8","Yes","Yes","Unavailable","China, USA","Available","Unavailable","2017-12-01","2018-03-19","0.1","Ethereum","ETH, BTC","Yes"
"UHIVE","UK","2019-01-30","2019-08-19","0.003","10000000","54000000","0.5","4.0E10","No","No","Unavailable","None","Available","Unavailable","2018-04-11","2018-05-30","0.0015","Ethereum","ETH, BTC, Fiat, Android Play Store, Paypal","Yes"
"Box2Table","Bulgaria","2018-08-08","2018-10-08","0.0523","5000000","41000000","0.76","3.8E8","No","Yes","Unavailable","USA","Available","Unavailable","2018-05-11","2018-06-15","0.08","Ethereum","ETH","Yes"
"FIXY NETWORK","Hong Kong","2018-05-16","2018-05-31","0.114","1155290","6585153","0.68","6.8E7","No","No","Unavailable","None","Unavailable","Unavailable","2018-05-01","2018-05-09","0.096326655568","Ethereum","ETH","Yes"
"Inflr","Cayman Islands","2018-12-10","2019-02-11","0.0218","242596","3056719","0.35","1.4E8","Yes","Yes","Unavailable","None","Available","Available","2018-08-20","2018-11-30","0.02829285625","Ethereum","ETH, BTC, BCH, LTC, Fiat","Yes"
"Nauticus","Australia","2018-05-19","2018-07-18","0.0741","8000000","88000000","0.8","2.0E9","Yes","No","Unavailable","None","Available","Available","2018-03-18","2018-03-30","0.08223679688","Ethereum","BTC, ETH, BCH, Fiat","Yes"
"TheFaustFlick","Venezuela","2019-05-01","2019-12-31","0.9571","1425719","2592217","0.5","500000.0","No","Yes","Unavailable","U.S residents need to check SEC regulation before investing","Unavailable","Unavailable","2019-03-01","2019-04-30","0.682218095","Ethereum","ETH","Yes"
"Ccecoin","Hong Kong","2018-11-01","2018-11-30","0.0592","3000000","10000000","0.1","1.0E8","No","Yes","Unavailable","None","Available","Unavailable","2018-10-01","2018-10-31","0.0692304015","Ethereum","ETH","Yes"
"Digital Telecom","Netherlands","2020-01-03","2020-04-30","0.1601184772386","250000","3000000","0.75","1000000.0","No","Yes","Unavailable","None","Unavailable","Unavailable","2019-11-15","2019-12-31","0.1388440722738","Separate Blockchain","TRX, BTC, USD, EUR","Yes"
"ETHernitymining","South Africa","2018-06-16","2018-07-31","0.2","2500000","21000000","0.8","1.2E8","No","No","Unavailable","None","Available","Unavailable","2018-05-16","2018-06-15","0.15","Ethereum","ETH","Yes"
"Enkidu","Singapore","2018-06-15","2018-08-15","0.045","5000000","30000000","0.52","7.8E8","Yes","Yes","Unavailable","USA, China, India","Unavailable","Available","2018-03-12","2018-03-26","0.037","Ethereum","ETH, BTC","Yes"
"Eticket4","British Virgin Islands","2018-03-05","2018-04-06","0.384","37028","5109933","0.46","1.38E7","Yes","Yes","Unavailable","None","Available","Unavailable","2018-01-30","2018-02-12","1.071130005","Ethereum","ETH, BTC","Yes"
"Fondocoin","UK","2018-07-24","2018-08-22","0.2","5000000","34000000","0.5","1.0E8","No","Yes","Unavailable","USA","Unavailable","Unavailable","2018-06-08","2018-07-23","0.2","Ethereum","BTC, ETH","Yes"
"Productivist","United Arab Emirates","2018-05-16","2018-10-01","0.1182","2321074","23210740","0.617","6.17E7","Yes","Yes","Unavailable","USA","Available","Available","2018-05-01","2018-05-15","0.078527995","Ethereum","ETH, BTC, DOGE, DASH, LTC","Yes"
"Quant Network","Switzerland","2018-04-02","2018-04-30","1.58","4354506","38185668","0.6819","3.1E7","Yes","Yes","Unavailable","USA, China, North Korea, Syria, Iran, Cuba, Crimea Region","Unavailable","Unavailable","2018-03-19","2018-04-01","0.81037265356623","Ethereum","ETH","Yes"
"RankingBall","Singapore","2018-06-11","2018-07-01","0.009","3000000","30000000","0.2","2.0E9","No","Yes","Unavailable","Singapore","Available","Available","2018-03-26","2018-05-18","0.00979901978","Ethereum","ETH","Yes"
"GlobeCas","Switzerland","2018-09-11","2018-10-24","0.0056","5000000","50000000","0.45","9.0E9","Yes","Yes","Unavailable","USA, China","Unavailable","Unavailable","2018-07-03","2018-08-15","0.004572473708","Ethereum","ETH, BTC, LTC, Fiat","Yes"
"ParamountDax","UK","2019-06-24","2019-09-23","0.15","1750000","9310000","0.65","6.5E7","No","Yes","Unavailable","USA","Unavailable","Available","2019-05-18","2019-06-23","0.15","Ethereum","ETH, BTC, DASH, LTC, Fiat","Yes"
"ZooomEx","Russia","2019-08-19","2019-08-31","0.03","400000","1200000","0.5","5.0E7","No","No","Unavailable","No","Available","Available","2019-06-24","2019-07-01","0.023","Ethereum","ETH","Yes"
"AIREN","Mexico","2018-04-22","2018-05-18","0.15","7000000","19000000","0.5","4.5E7","No","Yes","Unavailable","USA","Unavailable","Unavailable","2018-04-02","2018-04-15","0.0870326549549549","Ethereum","ETH , BTC","Yes"
"PlayerWonCoin","Anguilla","2020-01-01","2020-02-28","0.1","2500000","25000000","0.3","1.0E9","No","No","Unavailable","None","Unavailable","Available","2019-07-01","2019-07-31","0.05","Ethereum","BTC, ETH, USD","Yes"
"Sparkle","Canada","2019-01-11","2019-02-28","0.2393","0","9563348","0.6","1.9698E7","No","Yes","Unavailable","USA, Canada","Available","Available","2019-01-10","2019-01-20","0.3215629575","Ethereum","BTC, ETH, LTC","Yes"
"Trends Project","Hong Kong","2018-08-15","2018-10-03","0.25","5000000","20000000","0.85","8.5E7","Yes","Yes","Unavailable","USA","Available","Unavailable","2018-07-01","2018-07-31","0.1875","Ethereum","ETH, BTC","Yes"
"VOSAI","USA","2019-08-25","2019-12-20","0.75","15000000","100000000","0.15","2.15E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2018-07-04","2019-01-01","0.75","Ethereum","ETH, BTC, Fiat","Yes"
"Attrace","Netherlands","2018-07-12","2018-09-06","0.017","2000000","5929302","0.5","5.0E8","No","Yes","Available","USA, China","Available","Available","2018-06-21","2018-07-05","0.025","Custom","ETH, BTC, Fiat","Yes"
"DADI","UK","2018-01-29","2018-01-29","0.5","1000000","28750000","0.65","1.0E8","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2018-01-22","2018-01-29","0.4","Ethereum",,"Yes"
"Lucre Global","USA","2018-10-01","2018-12-31","0.25","4000000","40000000","0.72","2.59E8","No","Yes","Available","USA","Available","Available","2018-09-01","2018-09-30","0.1","Ethereum","BTC, ETH, Fiat","Yes"
"UCOIN","British Virgin Islands","2020-07-01","2021-06-30","1.0","25000000","50000000","0.1","5.0E8","No","Yes","Available","USA, China, Singapore","Unavailable","Available","2020-07-01","2021-06-30","1.0","Ethereum","ETH, BTC, Fiat","Yes"
